sender,reciever,,,,,,,,,,,
126,129,,,,,,,,,,,
124,101,,,,,,,,,,,
111,101,,,,,,,,,,,
111,118,,,,,,,,,,,
111,122,,,,,,,,,,,
111,124,,,,,102,105,108,110,114,117,127
121,118,,,,,,,,,,,
121,116,,,,,,,,,,,
121,119,,,,,,,,,,,
121,120,,,,,,,,,,,
107,112,,,,,,,,,,,
107,116,,,,,,,,,,,
107,125,,,,,,,,,,,
130,125,,,,,,,,,,,
130,112,,,,,,,,,,,
130,101,,,,,,,,,,,
118,107,,,,,,,,,,,
118,128,,,,,,,,,,,
118,103,,,,,,,,,,,
101,104,,,,,,,,,,,
101,113,,,,,,,,,,,
113,116,,,,,,,,,,,
120,123,,,,,,,,,,,
120,112,,,,,,,,,,,
120,122,,,,,,,,,,,
120,124,,,,,,,,,,,
109,101,,,,,,,,,,,
109,104,,,,,,,,,,,
109,112,,,,,,,,,,,
109,118,,,,,,,,,,,
109,124,,,,,,,,,,,
104,101,,,,,,,,,,,
104,118,,,,,,,,,,,
104,119,,,,,,,,,,,
104,124,,,,,,,,,,,
106,103,,,,,,,,,,,
106,112,,,,,,,,,,,
106,113,,,,,,,,,,,
106,128,,,,,,,,,,,
128,125,,,,,,,,,,,
128,118,,,,,,,,,,,
128,107,,,,,,,,,,,
128,103,,,,,,,,,,,
119,116,,,,,,,,,,,
119,101,,,,,,,,,,,
119,128,,,,,,,,,,,
119,107,,,,,,,,,,,
129,125,,,,,,,,,,,
125,128,,,,,,,,,,,
125,126,,,,,,,,,,,
125,124,,,,,,,,,,,
125,107,,,,,,,,,,,
125,112,,,,,,,,,,,
112,101,,,,,,,,,,,
112,124,,,,,,,,,,,
112,128,,,,,,,,,,,
112,129,,,,,,,,,,,
116,124,,,,,,,,,,,
116,112,,,,,,,,,,,
116,101,,,,,,,,,,,
116,125,,,,,,,,,,,
115,125,,,,,,,,,,,
115,128,,,,,,,,,,,
115,123,,,,,,,,,,,
115,126,,,,,,,,,,,
115,116,,,,,,,,,,,
103,118,,,,,,,,,,,
103,124,,,,,,,,,,,
103,122,,,,,,,,,,,
103,101,,,,,,,,,,,
