sender,reciever
126,123
124,106
111,106
111,103
121,112
121,109
121,106
121,119
121,103
107,106
130,106
118,106
118,111
118,103
101,106
101,103
113,118
113,120
113,109
120,103
109,106
109,118
109,111
104,103
104,106
106,118
106,104
106,109
128,106
128,109
119,106
119,111
119,118
129,111
129,109
129,103
125,106
125,111
125,103
125,118
112,106
112,111
112,118
116,106
116,111
116,103
115,106
115,111
115,106
115,103
103,106
103,111
